"","ID","consumption_unit_total","calendar_month","community","year","temperature","NumOfConnected-COMMELEC","NumOfConnected-FREENRESIE","NumOfConnected-FREERESIE","NumOfConnected-GOVTELEC","NumOfConnected-INDTELEC","NumOfConnected-RESIEXPE","NumOfConnected-RESINATE","NumOfConnected-RESINATSE","NumOfConnected-ENORATE","NumOfConnected-TOTAL","Expat_Ratio","Community.Name","One.Storey.Building","Multi.Storey.Building","Multi.Storey.Ratio.Building","Private.Villa","Investment.Villa","Arabic.House","Public.Building","Industrial.Building","Other.Buildings","Total.Buildings","population","Avg_Consumption_per_person","population_density"
"1052","201709-134",31803478.491,"201709","134","2017",35.5,644,0,2,69,0,2902,435,13,0,4065,0.866268656716418,"AL MAMZAR",1,29,1,356,4,3,47,0,1,442,13218,2406.07342192465,29.9049773755656
"1053","201709-141",0,"201709","141","2017",35.5,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1054","201709-213",3773018.974,"201709","213","2017",35.5,8,0,2,7,0,23,141,17,0,198,0.12707182320442,"NADD SHAMMA",0,0,0,189,0,0,7,0,1,197,2790,1352.33654982079,14.1624365482234
"1055","201709-214",70360341.049,"201709","214","2017",35.5,1739,0,2,75,5,1942,132,0,0,3895,0.936354869816779,"AL GARHOUD",3,45,8,99,1097,0,133,0,19,1404,17254,4077.91474724701,12.2891737891738
"1056","201709-215",32950651.058,"201709","215","2017",35.5,1575,0,6,36,80,185,3,0,0,1885,0.984042553191489,"UMM RAMOOL",3,4,0,0,85,1,436,27,298,854,2829,11647.4553050548,3.31264637002342
"1057","201709-216",42117185.886,"201709","216","2017",35.5,567,1,4,75,0,1368,1002,154,0,3171,0.541996830427892,"AL RASHIDIYA",13,14,0,1112,440,904,81,0,1,2565,33719,1249.063907174,13.1458089668616
"1058","201709-221",137428012.961,"201709","221","2017",35.5,478,0,1,65,17,2,0,0,0,563,1,"DUBAI INT'L AIRPORT",0,0,0,0,0,0,76,0,8,84,22,6246727.86186364,0.261904761904762
"1059","201709-226",21753945.158,"201709","226","2017",35.5,289,0,0,68,0,802,277,58,0,1494,0.705364995602463,"AL TWAR FIRST",1,11,0,425,63,25,35,0,0,560,10250,2122.33611297561,18.3035714285714
"1060","201709-227",7884418.169,"201709","227","2017",35.5,32,0,2,11,0,68,251,35,0,399,0.192090395480226,"AL TWAR SECOND",0,0,0,359,0,0,20,0,0,379,4378,1800.91780927364,11.5514511873351
"1061","201709-228",20430099.34,"201709","228","2017",35.5,50,0,0,24,0,94,674,54,0,896,0.114355231143552,"AL TWAR THIRD",0,0,0,864,0,0,25,0,1,890,9851,2073.91121104456,11.0685393258427
"1062","201709-231",35953745.796,"201709","231","2017",35.5,859,0,2,12,0,8673,159,14,0,9719,0.980443138141533,"AL NAHDA FIRST",1,69,1,0,0,0,21,0,0,92,23760,1513.20478939394,258.260869565217
"1063","201709-232",55218689.211,"201709","232","2017",35.5,675,1,2,44,0,11314,159,8,0,12203,0.985454228725721,"AL QUSAIS FIRST",0,190,0,0,0,0,54,0,3,247,41225,1339.44667582777,166.902834008097
"1064","201709-233",22565317.673,"201709","233","2017",35.5,752,0,0,36,0,2683,127,20,0,3618,0.948056537102474,"AL QUSAIS SECOND",0,47,0,165,3,43,45,0,8,311,11144,2024.88493117373,35.8327974276527
"1065","201709-234",10741689.58,"201709","234","2017",35.5,62,0,0,13,0,225,313,83,0,696,0.36231884057971,"AL QUSAIS THIRD",0,1,0,587,8,92,31,0,0,719,6480,1657.66814506173,9.0125173852573
"1066","201709-237",6190.244,"201709","237","2017",35.5,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1067","201709-238",62.73,"201709","238","2017",35.5,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1068","201709-241",63481433.101,"201709","241","2017",35.5,930,0,0,28,0,14968,305,33,0,16264,0.977917156670587,"AL NAHDA SECOND",0,243,0,0,0,0,20,0,0,263,54678,1161.00503129229,207.901140684411
"1069","201709-242",17884066.878,"201709","242","2017",35.5,1918,0,1,13,16,1410,16,1,0,3375,0.988086895585144,"AL QUSAIS IND. FIRST",1,43,0,0,0,0,82,12,227,365,8181,2186.04900110011,22.413698630137
"1070","201709-243",13410253.706,"201709","243","2017",35.5,1151,0,1,17,28,1082,24,2,0,2305,0.976534296028881,"AL QUSAIS IND. SECOND",5,23,0,0,0,0,64,2,84,178,7875,1702.88935949206,44.2415730337079
"1071","201709-244",9106153.723,"201709","244","2017",35.5,24,0,2,12,0,74,370,76,0,558,0.142307692307692,"MUHAISANAH THIRD",0,0,0,598,0,10,16,0,0,624,5950,1530.44600386555,9.53525641025641
"1072","201709-245",45400907.857,"201709","245","2017",35.5,504,0,0,34,0,10608,629,56,0,11831,0.939342955813336,"MUHAISANAH FOURTH",5,134,0,0,0,422,33,0,0,594,27848,1630.31125599684,46.8821548821549
"1073","201709-246",9596392.26,"201709","246","2017",35.5,840,0,1,9,8,282,9,2,0,1151,0.962457337883959,"AL QUSAIS IND. THIRD",0,12,0,0,0,0,129,13,63,217,2335,4109.80396573876,10.7603686635945
"1074","201709-247",8708838.116,"201709","247","2017",35.5,748,0,1,8,13,399,24,8,0,1201,0.925754060324826,"AL QUSAIS IND. FOURTH",0,11,1,0,0,0,86,4,90,192,2188,3980.27336197441,11.3958333333333
"1075","201709-248",4880291.938,"201709","248","2017",35.5,342,1,1,14,6,319,19,2,0,704,0.938235294117647,"AL QUSAIS IND. FIFTH",0,19,0,0,0,0,26,2,93,140,600,8133.81989666667,4.28571428571429
"1076","201709-251",86964366.179,"201709","251","2017",35.5,1430,1,3,34,0,11230,2226,58,0,14982,0.830990084356963,"MIRDIF",86,141,0,890,8308,0,39,0,4,9468,57668,1508.01772523757,6.09083227714406
"1077","201709-252",230966.188,"201709","252","2017",35.5,2,1,1,3,0,0,0,0,0,7,NA,"MUSHRAIF",1,0,0,3,0,0,6,0,0,10,63,3666.12996825397,6.3
"1078","201709-261",18144888.309,"201709","261","2017",35.5,116,0,1,21,0,73,630,54,0,895,0.0964332892998679,"MUHAISNAH FIRST",0,14,0,883,0,0,29,0,2,928,7023,2583.63780563862,7.56788793103448
"1079","201709-262",37658718.857,"201709","262","2017",35.5,388,0,0,24,0,141,1394,116,0,2063,0.0854027861901878,"AL MIZHAR FIRST",1,0,0,1823,75,7,59,0,2,1967,15182,2480.48470932683,7.71835282155567
"1080","201709-263",22758409.351,"201709","263","2017",35.5,39,0,0,8,0,62,969,67,0,1145,0.0564663023679417,"AL MIZHAR SECOND",0,0,0,1216,8,0,15,0,0,1239,10463,2175.13230918475,8.44471347861178
"1081","201709-264",79274229.039,"201709","264","2017",35.5,392,0,1,24,0,772,0,0,0,1189,1,"MUHAISANAH SECOND",149,524,0,0,0,0,131,0,3,807,202918,390.671251633665,251.447335811648
"1082","201709-265",16099186.212,"201709","265","2017",35.5,44,0,0,16,0,13,1056,430,0,1559,0.00867244829886591,"OUD AL MUTEENA FIRST",1,0,0,2517,0,0,15,0,1,2534,12068,1334.03929499503,4.76243093922652
"1083","201709-266",3729167.042,"201709","266","2017",35.5,13,0,0,2,0,15,230,16,0,276,0.0574712643678161,"OUD AL MUTEENA SECOND",0,0,0,667,0,0,7,0,0,674,4780,780.160469037657,7.0919881305638
"1084","201709-268",5116106.814,"201709","268","2017",35.5,14,0,0,3,0,131,419,56,0,623,0.216171617161716,"OUD AL MUTEENA THIRD",0,0,0,298,322,0,2,0,0,622,6110,837.333357446809,9.82315112540193
"1085","201709-271",8346087.279,"201709","271","2017",35.5,34,1,0,15,0,24,282,3,0,359,0.0776699029126214,"WADI ALAMARDI",212,1,0,174,40,0,23,0,60,510,3120,2675.02797403846,6.11764705882353
"1086","201709-281",23102122.07,"201709","281","2017",35.5,86,0,2,23,0,58,942,25,0,1136,0.0565853658536585,"AL KHWANEEJ FIRST",35,0,0,2005,0,0,23,0,1,2064,11169,2068.41454651267,5.41133720930233
"1087","201709-282",5184315.152,"201709","282","2017",35.5,119,0,0,7,1,25,207,20,0,379,0.0992063492063492,"AL KHWANEEJ SECOND",58,1,0,682,0,25,19,0,6,791,2786,1860.84535247667,3.52212389380531
"1088","201709-283",1725263.791,"201709","283","2017",35.5,22,0,0,1,0,29,88,0,0,140,0.247863247863248,"ALEYAS",51,1,0,31,0,0,6,0,94,183,1690,1020.86614852071,9.23497267759563
"1089","201709-284",1712935.955,"201709","284","2017",35.5,52,0,0,7,0,7,2,0,0,68,0.777777777777778,"AL TTAY",3,19,0,0,0,0,21,5,45,93,805,2127.87075155279,8.65591397849462
"1090","201709-311",5904087.857,"201709","311","2017",35.5,82,0,1,27,4,0,0,0,0,114,NA,"AL SHINDAGHA",0,0,0,0,0,0,14,0,0,14,2,2952043.9285,0.142857142857143
"1091","201709-312",66885327.402,"201709","312","2017",35.5,7077,0,1,52,0,7497,20,1,0,14648,0.997206703910615,"AL SOUQ AL KABEER",3,536,0,0,0,64,227,0,1,831,44783,1493.54280423375,53.8904933814681
"1092","201709-313",35860180.232,"201709","313","2017",35.5,795,0,0,13,0,5667,34,0,0,6509,0.994036134011577,"AL HAMRIYA",2,324,0,0,0,20,18,0,0,364,31957,1122.13850586726,87.793956043956
"1093","201709-314",12246135.407,"201709","314","2017",35.5,227,0,0,11,0,1236,7,0,0,1481,0.994368463395012,"UMM HURAIR FIRST",0,36,0,4,0,0,45,0,0,85,5118,2392.75799277061,60.2117647058824
"1094","201709-315",49376474.256,"201709","315","2017",35.5,849,2,3,77,0,775,32,0,0,1738,0.960346964064436,"UMM HURAIR SECOND",3,30,0,0,22,0,75,0,0,130,4579,10783.2439956322,35.2230769230769
"1095","201709-316",63611880.844,"201709","316","2017",35.5,1850,0,1,20,0,8679,43,0,0,10593,0.995069938087595,"AL RAFFA",5,341,0,11,0,63,49,0,0,469,41266,1541.50828391412,87.9872068230277
"1096","201709-317",89040581.086,"201709","317","2017",35.5,2999,0,1,25,0,9259,200,18,0,12502,0.976996939959903,"MANKHOOL",0,197,0,209,89,71,40,0,1,607,36808,2419.05512622256,60.6392092257002
"1097","201709-318",103766941.586,"201709","318","2017",35.5,4776,1,0,84,1,14524,152,3,0,19541,0.989440697595204,"AL KARAMA",0,712,0,0,0,9,92,0,3,816,69095,1501.80102157899,84.6752450980392
"1098","201709-319",45681266.274,"201709","319","2017",35.5,1464,0,2,23,0,4086,60,0,0,5635,0.985528219971056,"OUD METHA",2,84,0,2,0,0,54,0,0,142,13364,3418.23303457049,94.112676056338
"1099","201709-321",21885902.651,"201709","321","2017",35.5,559,0,1,47,4,304,6,0,0,921,0.980645161290323,"MADINAT DUBAI AL MELAHEYAH",1,28,0,0,0,0,52,0,15,96,8294,2638.7632808054,86.3958333333333
"1100","201709-322",19307304.839,"201709","322","2017",35.5,398,2,13,12,0,2319,151,4,0,2899,0.937348423605497,"AL HUDAIBA",4,58,0,81,107,5,9,0,0,264,12164,1587.24965792502,46.0757575757576
"1101","201709-323",25791772.188,"201709","323","2017",35.5,342,1,0,30,0,1213,262,32,0,1880,0.804910418049104,"AL JAFILIYA",5,49,0,290,254,379,33,0,0,1010,21072,1223.98311446469,20.8633663366337
"1102","201709-324",5804244.082,"201709","324","2017",35.5,28,1,0,15,0,0,0,0,0,44,NA,"Al Kifaf",0,0,0,0,0,0,7,0,0,7,2,2902122.041,0.285714285714286
"1103","201709-325",5573726.13,"201709","325","2017",35.5,45,1,1,39,0,3,160,27,0,276,0.0157894736842105,"ZA'ABEEL FIRST",1,0,0,245,17,14,14,0,1,292,2861,1948.17411045089,9.79794520547945
"1104","201709-326",17318720.177,"201709","326","2017",35.5,346,1,2,32,5,1264,58,0,0,1708,0.956127080181543,"AL JADAF",7,57,1,0,12,0,171,6,46,300,1053,16447.027708452,3.51
"1105","201709-332",50174075.264,"201709","332","2017",35.5,730,0,0,50,0,1995,471,30,0,3276,0.799278846153846,"JUMEIRA FIRST",33,41,0,542,1456,138,95,0,3,2308,17083,2937.07634865071,7.40164644714038
"1106","201709-333",47874887.655,"201709","333","2017",35.5,1651,0,1,42,0,3995,346,35,0,6070,0.912934186471664,"AL BADA'A",10,225,0,405,1109,413,39,0,0,2201,51467,930.205523053607,23.3834620626988
"1107","201709-334",31789440.313,"201709","334","2017",35.5,866,0,3,42,1,1804,319,45,0,3080,0.83210332103321,"AL SATWA",3,140,0,271,206,382,47,0,1,1050,40228,790.231687207915,38.312380952381
"1108","201709-335",63362654.215,"201709","335","2017",35.5,1997,3,0,12,0,4848,90,0,0,6950,0.981773997569866,"TRADE CENTER FIRST",0,36,5,0,0,0,20,0,0,61,14499,4370.1396106628,237.688524590164
"1109","201709-336",55271372.04,"201709","336","2017",35.5,661,2,0,12,0,2942,54,1,0,3672,0.981648314981648,"TRADE CENTER SECOND",0,26,9,0,0,0,28,0,0,63,11755,4701.94572862612,186.587301587302
"1110","201709-337",53143401.512,"201709","337","2017",35.5,811,6,3,42,0,2577,113,2,0,3554,0.957280832095097,"ZA'ABEEL SECOND",3,16,3,201,0,22,65,0,0,310,6806,7808.31641375257,21.9548387096774
"1111","201709-342",22918161.146,"201709","342","2017",35.5,109,0,0,19,0,933,376,25,0,1462,0.699400299850075,"JUMEIRA SECOND",6,2,0,466,866,1,13,0,1,1355,8001,2864.41209173853,5.90479704797048
"1112","201709-343",45204230.167,"201709","343","2017",35.5,858,1,4,77,0,2324,619,43,0,3926,0.778298727394508,"AL WASL",1,50,0,572,278,51,56,0,1,1009,10736,4210.52814521237,10.6402378592666
"1113","201709-345",151582064.632,"201709","345","2017",35.5,5814,1,1,24,0,16154,360,0,0,22354,0.978200314884341,"BURJ Khalifah",0,73,33,0,67,0,35,0,0,208,13201,11482.6198494053,63.4663461538462
"1114","201709-346",5999192.934,"201709","346","2017",35.5,674,0,0,0,0,932,18,0,0,1624,0.981052631578947,"BUSINESS BAY",1,86,14,0,9,0,75,0,0,185,14935,401.686838567124,80.7297297297297
"1115","201709-347",3290302.545,"201709","347","2017",35.5,31,0,1,6,0,130,1,0,0,169,0.99236641221374,"AL MERKADH",2,5,0,6,588,0,12,0,0,613,7,470043.220714286,0.0114192495921697
"1116","201709-352",33272602.353,"201709","352","2017",35.5,280,0,1,36,0,1260,526,38,0,2141,0.690789473684211,"JUMEIRA THIRD",6,3,0,664,1097,25,43,0,1,1839,11560,2878.25279870242,6.28602501359434
"1117","201709-353",21209168.848,"201709","353","2017",35.5,266,1,4,18,0,1174,188,1,0,1652,0.861335289801908,"AL SAFA FIRST",21,17,0,195,1134,0,27,0,0,1394,7540,2812.88711511936,5.40889526542324
"1118","201709-354",61735085.438,"201709","354","2017",35.5,898,1,1,44,23,717,808,131,0,2623,0.432971014492754,"AL QOUZ FIRST",2,7,0,1238,49,372,84,10,0,1762,15665,3940.95661908714,8.89046538024972
"1119","201709-355",2090144.152,"201709","355","2017",35.5,18,1,0,9,0,85,276,37,0,426,0.21356783919598,"AL QOUZ SECOND",0,1,0,790,128,58,8,0,0,985,4463,468.327168272462,4.53096446700508
"1120","201709-356",25417719.621,"201709","356","2017",35.5,251,0,0,23,1,1000,402,24,0,1701,0.701262272089762,"UMM SUQEIM FIRST",12,3,0,528,1044,14,40,0,3,1644,10743,2365.97967243787,6.53467153284672
"1121","201709-357",18553825.919,"201709","357","2017",35.5,180,0,4,18,0,617,289,10,0,1118,0.673580786026201,"AL SAFA SECOND",1,1,0,420,482,0,24,0,2,930,5643,3287.93654421407,6.06774193548387
"1122","201709-358",35372467.963,"201709","358","2017",35.5,1414,0,2,6,12,140,3,0,0,1577,0.979020979020979,"AL QOUZ THIRD",0,70,0,0,0,0,130,8,7,215,40525,872.85547101789,188.488372093023
"1123","201709-359",15352103.214,"201709","359","2017",35.5,230,0,0,5,0,955,252,88,0,1530,0.737451737451737,"AL QOUZ FOURTH",2,81,0,401,59,0,21,0,1,565,17251,889.925408034317,30.5327433628319
"1124","201709-362",28182540.52,"201709","362","2017",35.5,225,0,0,34,0,1167,433,42,0,1901,0.710718635809988,"UMM SUQEIM SECOND",17,2,0,601,1053,32,45,0,8,1758,11012,2559.25722121322,6.26393629124005
"1125","201709-363",21379919.375,"201709","363","2017",35.5,198,0,3,15,0,657,385,19,0,1277,0.619227144203581,"AL MANARA",5,1,0,661,491,0,29,0,0,1187,7342,2912.00209411604,6.18534119629318
"1126","201709-364",61651252.22,"201709","364","2017",35.5,2184,0,1,13,145,149,0,0,0,2492,1,"AL QOUZE IND.FIRST",19,70,0,0,0,0,125,61,275,550,26569,2320.42049832512,48.3072727272727
"1127","201709-365",86494417.561,"201709","365","2017",35.5,1194,3,5,25,58,9704,46,1,0,11036,0.995179981540355,"AL QOUZE IND.SECOND",36,347,0,0,0,0,171,40,60,654,157966,547.550849936062,241.538226299694
"1128","201709-366",30578250.901,"201709","366","2017",35.5,175,0,0,21,0,577,195,12,0,980,0.735969387755102,"UMM SUQEIM THIRD",6,12,0,235,571,48,37,0,1,910,6806,4492.8373348516,7.47912087912088
"1129","201709-367",13224382.231,"201709","367","2017",35.5,226,0,3,10,0,251,223,8,0,721,0.520746887966805,"UMM AL SHEIF",1,7,0,423,128,0,33,0,2,594,3946,3351.3386292448,6.64309764309764
"1130","201709-368",75673283.058,"201709","368","2017",35.5,2532,0,4,20,122,87,0,0,0,2765,1,"AL QOUZE IND.THIRD",31,66,0,0,0,0,136,31,407,671,23995,3153.71048376745,35.7600596125186
"1131","201709-369",48181302.588,"201709","369","2017",35.5,2344,2,3,20,85,190,0,0,0,2644,1,"AL QOUZE IND.FOURTH",12,124,0,0,0,0,125,56,444,761,38240,1259.97130198745,50.2496714848883
"1132","201709-372",22887147.399,"201709","372","2017",35.5,244,0,3,41,0,873,65,3,0,1229,0.927736450584485,"AL SAFOUH FIRST",7,11,0,104,276,0,15,0,18,431,3445,6643.58415065312,7.99303944315545
"1133","201709-373",118073538.481,"201709","373","2017",35.5,2852,2,1,22,0,11200,211,2,0,14290,0.981337071760273,"AL BARSHA FIRST",6,213,1,10,933,0,50,0,2,1215,33345,3540.96681604438,27.4444444444444
"1134","201709-375",28238722.939,"201709","375","2017",35.5,92,0,1,23,0,478,935,79,0,1608,0.320375335120643,"AL BARSHA THIRD",0,4,0,1618,55,0,41,0,0,1718,11680,2417.6988817637,6.79860302677532
"1135","201709-376",38544054.352,"201709","376","2017",35.5,279,0,3,20,0,427,1120,82,0,1931,0.262124002455494,"AL BARSHA SECOND",3,1,0,1766,76,0,82,0,0,1928,12800,3011.25424625,6.63900414937759
"1136","201709-381",103688865.668,"201709","381","2017",35.5,566,5,0,20,1,8566,336,0,0,9494,0.962255672882498,"NAKHLAT JUMEIRA",0,88,1,0,1576,0,14,0,0,1679,12711,8157.41213657462,7.57057772483621
"1137","201709-382",79501645.022,"201709","382","2017",35.5,2651,0,4,27,0,1006,8,0,0,3696,0.992110453648915,"AL SAFOUH SECOND",3,21,2,0,717,0,74,0,0,817,5592,14217.0323716023,6.84455324357405
"1138","201709-383",21879523.536,"201709","383","2017",35.5,2559,0,1,10,0,6885,46,0,0,9501,0.993363151060453,"AL THANYAH FIRST",2,75,1,0,76,0,19,0,0,173,20007,1093.59341910331,115.647398843931
"1139","201709-384",673495.145,"201709","384","2017",35.5,15,3,1,5,0,192,2,0,0,218,0.989690721649485,"AL THANYAH SECOND",1,0,0,0,0,0,1,0,0,2,115,5856.47952173913,57.5
"1140","201709-388",18214076.402,"201709","388","2017",35.5,333,0,0,11,0,7829,54,0,0,8227,0.993149816059876,"AL THANYAH THIRD",2,89,1,0,1237,0,15,0,0,1344,12025,1514.68410827443,8.94717261904762
"1141","201709-390",12870.453,"201709","390","2017",35.5,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1142","201709-392",144772982.812,"201709","392","2017",35.5,2888,0,2,16,0,29134,286,0,0,32326,0.990278721957852,"MARSA DUBAI",4,189,18,0,137,0,72,0,0,420,52917,2735.85015802105,125.992857142857
"1143","201709-393",51553696.559,"201709","393","2017",35.5,6430,0,4,12,13,15987,168,2,0,22616,0.989478244723649,"AL THANYAH FIFTH",0,53,2,0,3325,0,73,0,0,3453,28012,1840.41469937884,8.11236605849986
"1144","201709-394",20434088.854,"201709","394","2017",35.5,391,0,2,9,0,7456,208,1,0,8067,0.972733202870189,"AL THANYAH  FOURTH",0,1,0,0,7456,0,17,0,3,7477,17260,1183.89854310545,2.30841246489234
"1145","201709-411",987276.002,"201709","411","2017",35.5,9,0,0,0,0,0,0,0,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1146","201709-412",36416039.462,"201709","412","2017",35.5,746,0,0,17,9,1050,70,0,0,1892,0.9375,"AL KHEERAN",0,30,0,0,59,0,45,3,6,143,3687,9876.87536262544,25.7832167832168
"1147","201709-413",57176.351,"201709","413","2017",35.5,0,0,1,1,0,0,0,0,0,2,NA,"RAS AL KHOR",0,0,0,0,0,0,1,0,0,1,2,28588.1755,2
"1148","201709-414",31005.178,"201709","414","2017",35.5,0,0,0,0,0,0,1,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1149","201709-415",492752.39,"201709","415","2017",35.5,5,0,2,4,0,0,0,0,0,11,NA,"AL KHAIRAN FIRST",0,3,0,0,0,0,5,0,1,9,2,246376.195,0.222222222222222
"1150","201709-416",31892655.55,"201709","416","2017",35.5,633,2,2,29,2,184,1102,81,0,2035,0.134601316752012,"NADD AL HAMAR",1,11,0,1523,0,0,88,0,35,1658,13013,2450.83036578806,7.84861278648975
"1151","201709-421",21677024.488,"201709","421","2017",35.5,319,2,0,0,0,5972,995,45,0,7333,0.851682829435254,"AL WARQA'A FIRST",0,219,0,0,0,0,12,0,0,231,16776,1292.14499809251,72.6233766233766
"1152","201709-422",14743075.794,"201709","422","2017",35.5,68,0,2,13,0,100,794,58,0,1035,0.105042016806723,"AL WARQA'A SECOND",0,0,0,1242,0,0,19,0,0,1261,9760,1510.56104446721,7.73988897700238
"1153","201709-423",19903466.885,"201709","423","2017",35.5,37,0,0,13,0,162,1084,91,0,1387,0.121166791323859,"AL WARQA'A THIRD",0,0,0,1775,7,0,23,0,0,1805,11980,1661.39122579299,6.63711911357341
"1154","201709-424",18042911.122,"201709","424","2017",35.5,39,0,0,11,0,70,1220,124,0,1464,0.0495049504950495,"AL WARQA'A FOURTH",0,0,0,1667,0,0,15,0,0,1682,11682,1544.50531775381,6.94530321046373
"1155","201709-425",388524.119,"201709","425","2017",35.5,0,0,2,0,0,0,0,0,0,2,NA,"AL WARQA'A FIFTH",0,0,0,0,0,0,2,0,2,4,60,6475.40198333333,15
"1156","201709-431",829791.006,"201709","431","2017",35.5,0,0,0,3,0,0,0,0,0,3,NA,"WADI ALSHABAK",1,0,0,0,0,0,0,0,0,1,50,16595.82012,50
"1157","201709-441",43777.205,"201709","441","2017",35.5,0,0,0,1,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1158","201709-442",438902.826,"201709","442","2017",35.5,0,0,0,0,0,4,0,0,0,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1159","201709-500",2667072.831,"201709","500","2017",35.5,112,2,0,11,3,331,5,0,0,464,0.985119047619048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1160","201709-511",5564834.364,"201709","511","2017",35.5,29,5,2,19,12,458,9,0,0,534,0.980728051391863,"HESSYAN FIRST",2,13,0,0,323,0,7,1,0,346,3231,1722.3257084494,9.33815028901734
"1161","201709-513",235981.096,"201709","513","2017",35.5,105,0,0,0,0,0,0,0,0,105,NA,"SAIH SHUAIB 1",1,3,0,0,21,0,53,0,10,88,9,26220.1217777778,0.102272727272727
"1162","201709-516",27515274.726,"201709","516","2017",35.5,59,9,0,6,72,0,0,0,0,146,NA,"JABAL ALI INDUSTRIAL THIRD",2,1,0,0,0,0,88,61,35,187,2462,11175.9848602762,13.1657754010695
"1163","201709-518",55934579.471,"201709","518","2017",35.5,983,1,3,14,192,401,3,0,0,1597,0.992574257425743,"JABAL ALI INDUSTRIAL SECOND",2,3,0,0,0,0,234,38,162,439,23000,2431.93823786957,52.3917995444191
"1164","201709-521",21934415.867,"201709","521","2017",35.5,267,16,0,57,10,251,3,0,0,604,0.988188976377953,"MADINAT AL MATAAR",3,37,0,0,0,0,163,2,8,213,2183,10047.8313637197,10.2488262910798
"1165","201709-531",73943603.357,"201709","531","2017",35.5,988,18,5,147,254,1461,4,0,0,2877,0.997269624573379,"SAIH SHUAIB 2",0,32,0,0,220,0,25,18,37,332,13420,5509.95554076006,40.421686746988
"1166","201709-532",8725823.871,"201709","532","2017",35.5,417,0,0,1,17,27,0,0,0,462,1,"SAIH SHUAIB 3",0,27,0,0,0,0,53,29,35,144,11144,783.006449300072,77.3888888888889
"1167","201709-533",8155731.658,"201709","533","2017",35.5,21,0,0,0,24,25,0,0,0,70,1,"SAIH SHUAIB 4",1,26,0,0,0,0,34,36,46,143,11170,730.146075022381,78.1118881118881
"1168","201709-591",239911808.253,"201709","591","2017",35.5,2502,7,26,142,337,25596,135,1,0,28746,0.994714752059692,"JEBEL ALI FIRST",10,414,0,0,2202,0,44,3,2,2675,67765,3540.34985985391,25.3327102803738
"1169","201709-592",94104.061,"201709","592","2017",35.5,1,0,0,0,1,0,0,0,0,2,NA,"JEBEL ALI SECOND",1,2,0,0,0,0,2,2,0,7,1539,61.1462384665367,219.857142857143
"1170","201709-594",5972617.234,"201709","594","2017",35.5,158,0,0,0,13,2,0,0,0,173,1,"MENA JABAL ALI",13,80,0,0,0,0,346,136,292,867,28600,208.83277041958,32.9873125720877
"1171","201709-597",24939869.257,"201709","597","2017",35.5,1986,1,0,14,140,2733,10,0,0,4884,0.99635435654393,"DUBAI INVESTMENT PARK SECOND",4,192,0,0,0,0,113,101,270,680,57998,430.012573830132,85.2911764705882
"1172","201709-598",58729184.842,"201709","598","2017",35.5,2209,5,1,8,186,3754,36,0,0,6199,0.990501319261214,"DUBAI INVESTMENT PARK FIRST",1,310,0,0,1227,0,260,87,52,1937,67575,869.096335064743,34.8864223025297
"1173","201709-599",67795119.44,"201709","599","2017",35.5,1166,5,5,46,267,394,0,0,0,1883,1,"JABAL ALI INDUSTRIAL FIRST",6,437,0,0,0,0,144,199,177,963,129239,524.571680684623,134.204569055036
"1174","201709-600",28111332.602,"201709","600","2017",35.5,345,3,15,83,0,1451,95,1,0,1993,0.937944408532644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1175","201709-611",439917.318,"201709","611","2017",35.5,3,0,1,4,0,0,1,0,0,9,0,"BU KADRA",0,0,0,0,0,0,1,0,0,1,15,29327.8212,15
"1176","201709-612",3192074.732,"201709","612","2017",35.5,1314,2,0,12,12,99,0,0,0,1439,1,"RAS AL KHOR IND. FIRST",10,15,0,0,0,0,197,10,170,402,2201,1450.28384007269,5.47512437810945
"1177","201709-613",8897894.343,"201709","613","2017",35.5,3296,0,1,24,53,134,2,0,0,3510,0.985294117647059,"RAS AL KHOR IND. SECOND",1,11,0,0,0,0,592,22,487,1113,2097,4243.15419313305,1.88409703504043
"1178","201709-614",13562276.823,"201709","614","2017",35.5,1764,7,3,39,4,1849,126,7,0,3799,0.932896064581231,"RAS AL KHOR IND. THIRD",0,77,0,0,32,0,321,0,16,446,21238,638.585404604953,47.6188340807175
